9, 0, 0, 0, 0, 1, 1, 1, 1, 1, 4
9, 0, 0, 0, 0, 1, 1, 1, 1, 1, 4
0, 5, 0, 0, 0, 1, 1, 1, 1, 1, 0
0, 11, 0, 0, 0, 1, 1, 1, 1, 1, 6
0, 0, 0, 0, 5, 1, 1, 1, 1, 1, 0
0, 0, 0, 0, 15, 1, 1, 1, 1, 1, 10
3, 4, 0, 0, 5, 0, 1, 2, 0, 2, 7
0, 0, 5, 0, 0, 1, 1, 1, 1, 1, 0
0, 0, 13, 0, 0, 1, 1, 1, 1, 1, 8
0, 0, 0, 5, 0, 1, 1, 1, 1, 1, 0
0, 0, 0, 10, 1, 1, 1, 2, 0, 0, 7
2, 0, 7, 4, 0, 0, 1, 1, 1, 1, 9
8, 0, 7, 8, 3, 1, 2, 2, 2, 1, 18
4, 1, 10, 9, 2, 1, 3, 2, 2, 1, 17
3, 0, 1, 1, 1, 1, 0, 1, 1, 0, 3
8, 0, 4, 1, 4, 1, 1, 3, 1, 1, 10
